Title,Company,Job Type,Location,Link
Technical sales Manager,Etkaan  -,Full TimeHybrid,"Hadayek Alahram, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Etkaan-Egypt-95154
Requirements and Configuration Engineer,COLAS RAIL Egypt -,Full TimeOn-site,"Abdeen, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/COLAS-RAIL-Egypt-Egypt-31734
Senior Architect Engineer,Seoudi Supermarket -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038
Call Center Agent - Order Taker,Universal Payment Services -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Universal-Payment-Services-Egypt-17465
Cold Calls Director (Real Estate – Remote),ISpeedtoLead -,Full TimeRemote,"Boston, United States",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ISpeedtoLead-Poland-126111
Sales Executive,AN - Aviation Services -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/AN---Aviation-Services-Egypt-29078
Fit Out Site Engineer (Males Only),graffiti interior design  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-124740
Accounts payable Accountant,Al Andalous Pharmaceutical Industries -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-Andalous-Pharmaceutical-Industries-Egypt-56369
Chief Accountant,Outservingplus -,Full TimeOn-site,"Abu Qir, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Outservingplus-Egypt-75652
Senior Devops Engineer,Algoriza -,Full TimeRemote,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Algoriza-Egypt-58919
Senior Site Engineer,New Generation Developments -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/New-Generation-For-Real-Estate-Development-Egypt-65004
Business Development Specialist,Statements Consulting -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Statements-for-Consulting-Egypt-8643
HORECA Sales Executive,Seoudi Supermarket -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038
Technical Office Engineer,Confidential -,Full TimeHybrid,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/12tNJ13f0qRt-Technical-Office-Engineer-Cairo-Egypt
Senior Talent Acquisition Specialist,Upwyde -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Upwyde-Egypt-76587
B2B Sales Manager Automotive (Fleet Sales),Nour Eldin Elsherif for Trading vehicles -,Full TimeOn-site,"Katameya, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/nour-eldin-elsherif-for-trading-vehicles-Egypt-30889
Insurance Supervisor Automotive- After Sales B2B,Nour Eldin Elsherif for Trading vehicles -,Full TimeOn-site,"Katameya, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/nour-eldin-elsherif-for-trading-vehicles-Egypt-30889
Marketing Manager,Nour Eldin Elsherif for Trading vehicles -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/nour-eldin-elsherif-for-trading-vehicles-Egypt-30889
Payroll Administrator,The Infinity Group   -,Full TimePart TimeRemote,"London, United Kingdom",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The Infinity Group-Egypt-125583
Site Manager - New Capital,Confidential -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kawSl0vXefz9-Site-Manager---New-Capital-Cairo-Egypt
Senior SAP PP Consultant,Nahdet Misr Publishing Group -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272
Call Center Agent - Assiut,Etisalat Egypt -,Full TimeOn-site,"Assiut, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Etisalat-Egypt-Egypt-109452
Senior SAP SD Function Consultant,Nahdet Misr Publishing Group -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272
Accounting Manager,Brand Connection -,Full TimeOn-site,"Bab Sharq, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-113096
Senior Content Creator,Morasalaty -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Samaa-Group-Egypt-107529
Real Estate Senior Sales Specialist,ARX Developments -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Arex-Developments-Egypt-125841
Medical Records Specialist,Misr International Hospital -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-104632
Branch Manager,Miss Leleian -,Full TimeOn-site,"Faisal, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/miss-leleian-Egypt-61506
Front Desk Coordinator,Assist Group Limited  -,Full TimeOn-site,"Faisal, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Assist Group Limited-United States-125371
Sales Engineer,Tawakol Metal Industries -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Tawakol-Metal-Industries-Egypt-28837
Design Engineer,Tawakol Metal Industries -,Full TimeOn-site,"khanka, Qalubia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Tawakol-Metal-Industries-Egypt-28837
Senior Front End Developer - Vue,Our Education -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Our-edu-Egypt-51211
